DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/05/2016,8:30,,,,,,,,PARKING LOT OF 30-05 WHITESTONE EXPY    ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3366271,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,8:30,QUEENS,11415,40.7100269,-73.8340529,"(40.7100269, -73.8340529)",BEVERLY ROAD                    ,ONSLOW PLACE                    ,,0,0,0,0,0,0,0,0,Prescription Medication,Unspecified,,,,3365533,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,8:30,QUEENS,11385,40.7005934,-73.8545649,"(40.7005934, -73.8545649)",WOODHAVEN BOULEVARD             ,FOREST PARK DRIVE               ,,0,0,0,0,0,0,0,0,Glare,Unspecified,,,,3365529,VAN,SPORT UTILITY / STATION WAGON,,,
01/05/2016,8:30,QUEENS,11356,40.785734,-73.8532847,"(40.785734, -73.8532847)",14 AVENUE                       ,114 STREET                      ,,0,0,0,0,0,0,0,0,,,,,,3366273,LARGE COM VEH(6 OR MORE TIRES),SPORT UTILITY / STATION WAGON,,,
01/05/2016,8:30,BROOKLYN,11207,40.6835047,-73.9115123,"(40.6835047, -73.9115123)",ROCKAWAY AVENUE                 ,BROADWAY                        ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3365401,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
01/05/2016,8:30,BRONX,10469,40.8823293,-73.8536827,"(40.8823293, -73.8536827)",EAST 221 STREET                 ,PAULDING AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365253,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,8:27,BROOKLYN,11207,40.6866514,-73.9131379,"(40.6866514, -73.9131379)",BUSHWICK AVENUE                 ,ELDERT STREET                   ,,1,0,0,0,0,0,1,0,Prescription Medication,Prescription Medication,,,,3365474,OTHER,OTHER,,,
01/05/2016,8:26,,,40.7425,-73.7809926,"(40.7425, -73.7809926)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3366299,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,8:26,MANHATTAN,10032,40.8434353,-73.9416338,"(40.8434353, -73.9416338)",WEST 170 STREET                 ,FORT WASHINGTON AVENUE          ,,0,0,0,0,0,0,0,0,Passenger Distraction,Passenger Distraction,,,,3365166,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,8:25,BROOKLYN,11229,40.5992503,-73.9526071,"(40.5992503, -73.9526071)",AVENUE U                        ,EAST 19 STREET                  ,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3365291,SPORT UTILITY / STATION WAGON,OTHER,,,
