DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/05/2016,7:02,BROOKLYN,11201,40.701028,-73.9912614,"(40.701028, -73.9912614)",OLD FULTON STREET               ,HENRY STREET                    ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3365479,UNKNOWN,,,,
01/05/2016,7:00,,,40.6763035,-73.8024703,"(40.6763035, -73.8024703)",,,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3366318,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,7:00,,,40.8319342,-73.8845982,"(40.8319342, -73.8845982)",,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3365214,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,
01/05/2016,7:00,QUEENS,11418,40.7039481,-73.8183285,"(40.7039481, -73.8183285)",HILLSIDE AVENUE                 ,136 STREET                      ,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3365525,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,
01/05/2016,7:00,BRONX,10467,40.8843907,-73.879959,"(40.8843907, -73.879959)",JEROME AVENUE                   ,EAST 212 STREET                 ,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3365972,PASSENGER VEHICLE,UNKNOWN,,,
01/05/2016,7:00,BRONX,10455,40.8122827,-73.9044665,"(40.8122827, -73.9044665)",EAST 149 STREET                 ,PROSPECT AVENUE                 ,,0,0,0,0,0,0,0,0,Other Vehicular,Turning Improperly,,,,3365185,OTHER,SPORT UTILITY / STATION WAGON,,,
01/05/2016,6:58,MANHATTAN,10033,40.8455412,-73.9327696,"(40.8455412, -73.9327696)",AMSTERDAM AVENUE                ,WEST 177 STREET                 ,,1,0,0,0,0,0,1,0,Tow Hitch Defective,Unspecified,,,,3365167,VAN,VAN,,,
01/05/2016,6:50,,,,,,BEACH CHANNEL DRIVE             ,BEACH 144 STREET                ,,1,0,0,0,0,0,1,0,Pavement Slippery,,,,,3365513,SPORT UTILITY / STATION WAGON,,,,
01/05/2016,6:50,BROOKLYN,11203,40.6517331,-73.930381,"(40.6517331, -73.930381)",UTICA AVENUE                    ,CHURCH AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3598949,PASSENGER VEHICLE,,,,
01/05/2016,6:45,STATEN ISLAND,10304,40.6047872,-74.0844687,"(40.6047872, -74.0844687)",MOSEL AVENUE                    ,CLOVE ROAD                      ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3365750,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,6:39,BRONX,10467,40.871896,-73.879121,"(40.871896, -73.879121)",,,3075      HULL AVENUE                   ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3592790,PASSENGER VEHICLE,,,,
01/05/2016,6:35,,,,,,,,,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,3366262,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,6:31,BRONX,10468,40.873841,-73.8891551,"(40.873841, -73.8891551)",,,3000      JEROME AVENUE                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3592792,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,6:30,,,,,,BEACH CHANNEL DRIVE             ,BEACH 144 STREET                ,,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,3365512,SPORT UTILITY / STATION WAGON,,,,
01/05/2016,6:30,BROOKLYN,11215,40.6714039,-73.9943836,"(40.6714039, -73.9943836)",11 STREET                       ,2 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365444,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,6:15,QUEENS,11418,40.6968646,-73.8371654,"(40.6968646, -73.8371654)",111 STREET                      ,JAMAICA AVENUE                  ,,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,3365526,TAXI,SMALL COM VEH(4 TIRES) ,,,
01/05/2016,6:15,QUEENS,11378,40.7259197,-73.8953397,"(40.7259197, -73.8953397)",69 STREET                       ,GRAND AVENUE                    ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365550,PASSENGER VEHICLE,VAN,,,
01/05/2016,6:15,BROOKLYN,11208,40.6703265,-73.8779506,"(40.6703265, -73.8779506)",BLAKE AVENUE                    ,ATKINS AVENUE                   ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unsafe Speed,Unspecified,,,3365420,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
01/05/2016,6:05,MANHATTAN,10012,40.727095,-73.9915539,"(40.727095, -73.9915539)",BOWERY                          ,EAST 4 STREET                   ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Reaction to Other Uninvolved Vehicle,,,,3368486,TAXI,SPORT UTILITY / STATION WAGON,,,
01/05/2016,6:00,QUEENS,11412,40.6889579,-73.7620421,"(40.6889579, -73.7620421)",FARMERS BOULEVARD               ,118 ROAD                        ,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3365695,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,6:00,,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Driver Inattention/Distraction,,,,3365973,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,6:00,QUEENS,11435,40.7149707,-73.8128948,"(40.7149707, -73.8128948)",SMEDLEY STREET                  ,COOLIDGE AVENUE                 ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3365594,UNKNOWN,SPORT UTILITY / STATION WAGON,,,
01/05/2016,6:00,QUEENS,11101,40.7555584,-73.9382927,"(40.7555584, -73.9382927)",23 STREET                       ,39 AVENUE                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366336,PASSENGER VEHICLE,UNKNOWN,,,
01/05/2016,5:45,,,40.6622052,-73.8029921,"(40.6622052, -73.8029921)",,,,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,3366329,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,5:05,QUEENS,11102,40.7661526,-73.9197778,"(40.7661526, -73.9197778)",33 STREET                       ,30 AVENUE                       ,,0,0,0,0,0,0,0,0,Physical Disability,Physical Disability,,,,3365709,TAXI,PASSENGER VEHICLE,,,
01/05/2016,5:00,,,,,,101 AVENUE                      ,VAN WYCK EXPRESSWAY             ,,2,0,0,0,0,0,2,0,Fatigued/Drowsy,Unspecified,,,,3365527,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,4:50,,,,,,,,,1,0,0,0,0,0,1,0,Turning Improperly,Turning Improperly,Unspecified,,,3365552,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
01/05/2016,4:29,MANHATTAN,10026,40.800664,-73.9464607,"(40.800664, -73.9464607)",WEST 116 STREET                 ,5 AVENUE                        ,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,,,3365155,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
01/05/2016,3:50,,,,,,,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,,,,,3365208,SMALL COM VEH(4 TIRES) ,,,,
01/05/2016,3:46,BROOKLYN,11221,40.6983117,-73.9255647,"(40.6983117, -73.9255647)",CENTRAL AVENUE                  ,CEDAR STREET                    ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365469,OTHER,TAXI,,,
01/05/2016,3:40,BROOKLYN,11222,40.7304639,-73.9514819,"(40.7304639, -73.9514819)",MCGUINESS BOULEVARD             ,GREENPOINT AVENUE               ,,0,0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,Unspecified,,,3366150,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
01/05/2016,3:15,QUEENS,11354,40.7652665,-73.815165,"(40.7652665, -73.815165)",NORTHERN BOULEVARD              ,150 STREET                      ,,0,0,0,0,0,0,0,0,Turning Improperly,Driver Inattention/Distraction,,,,3365650,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,3:00,,,,,,,,REAR OF 2930 RICHMOND TERRACE           ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3365741,UNKNOWN,,,,
01/05/2016,2:45,QUEENS,11361,40.7624134,-73.7814534,"(40.7624134, -73.7814534)",39 AVENUE                       ,204 STREET                      ,,1,0,0,0,0,0,1,0,Alcohol Involvement,,,,,3365676,PASSENGER VEHICLE,,,,
01/05/2016,2:17,BROOKLYN,11233,40.685913,-73.9206171,"(40.685913, -73.9206171)",HOWARD AVENUE                   ,HANCOCK STREET                  ,,0,0,0,0,0,0,0,0,Unspecified,,,,,3366126,SPORT UTILITY / STATION WAGON,,,,
01/05/2016,2:15,QUEENS,11101,40.7450696,-73.93635,"(40.7450696, -73.93635)",THOMPSON AVENUE                 ,30 PLACE                        ,,0,0,0,0,0,0,0,0,Obstruction/Debris,,,,,3365629,PASSENGER VEHICLE,,,,
01/05/2016,23:51,BROOKLYN,11210,40.6385108,-73.9501723,"(40.6385108, -73.9501723)",FOSTER AVENUE                   ,EAST 28 STREET                  ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3385124,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,23:35,MANHATTAN,10003,40.7332131,-73.9911129,"(40.7332131, -73.9911129)",BROADWAY                        ,EAST 12 STREET                  ,,2,0,0,0,0,0,2,0,Fatigued/Drowsy,Unspecified,,,,3365777,TAXI,LIVERY VEHICLE,,,
01/05/2016,22:25,QUEENS,11413,40.6670391,-73.7573153,"(40.6670391, -73.7573153)",SPRINGFIELD BOULEVARD           ,144 AVENUE                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366320,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,22:15,MANHATTAN,10028,40.7794977,-73.9555841,"(40.7794977, -73.9555841)",EAST 86 STREET                  ,LEXINGTON AVENUE                ,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3365138,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,22:00,MANHATTAN,10028,40.7733413,-73.94901,"(40.7733413, -73.94901)",EAST 82 STREET                  ,YORK AVENUE                     ,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3365136,TAXI,TAXI,,,
01/05/2016,22:00,BROOKLYN,11221,40.6878322,-73.9300332,"(40.6878322, -73.9300332)",REID AVENUE                     ,MONROE STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,,,,,3366128,SPORT UTILITY / STATION WAGON,,,,
01/05/2016,21:49,BROOKLYN,11201,40.6962878,-73.9911863,"(40.6962878, -73.9911863)",CADMAN PLAZA WEST               ,TILLARY STREET                  ,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3366139,PASSENGER VEHICLE,UNKNOWN,,,
01/05/2016,21:44,BROOKLYN,11208,40.668669,-73.8683145,"(40.668669, -73.8683145)",LINDEN BOULEVARD                ,CRESCENT STREET                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365424,UNKNOWN,SPORT UTILITY / STATION WAGON,,,
01/05/2016,21:40,,,,,,TRAVIS AVENUE                   ,SOUTH AVENUE                    ,,0,0,0,0,0,0,0,0,Tire Failure/Inadequate,,,,,3366365,PICK-UP TRUCK,,,,
01/05/2016,21:40,,,,,,ATLANTIC AVENUE                 ,SOUTH CONDUIT AVENUE            ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366093,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,21:30,QUEENS,11372,40.750451,-73.8939008,"(40.750451, -73.8939008)",,,35-43 72 ST                             ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366352,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,21:30,MANHATTAN,10036,40.7629162,-73.9856472,"(40.7629162, -73.9856472)",WEST 47 STREET                  ,7 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365120,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,21:30,BROOKLYN,11228,40.6225733,-74.0158248,"(40.6225733, -74.0158248)",10 AVENUE                       ,78 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365360,PASSENGER VEHICLE,VAN,,,
01/05/2016,21:30,BRONX,10473,40.8131027,-73.8540408,"(40.8131027, -73.8540408)",STEPHENS AVENUE                 ,COMPTON AVENUE                  ,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,Unspecified,,,3365914,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
01/05/2016,21:30,BRONX,10467,40.8563263,-73.8724291,"(40.8563263, -73.8724291)",PELHAM PARKWAY                  ,BRONX RIVER PARKWAY             ,,0,0,0,0,0,0,0,0,Other Vehicular,Fatigued/Drowsy,,,,3365982,TAXI,PASSENGER VEHICLE,,,
01/05/2016,21:24,MANHATTAN,10013,40.7204338,-73.9998665,"(40.7204338, -73.9998665)",CROSBY STREET                   ,GRAND STREET                    ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3365082,PASSENGER VEHICLE,TAXI,,,
01/05/2016,21:17,BROOKLYN,11225,40.6651,-73.94538,"(40.6651, -73.94538)",BROOKLYN AVENUE                 ,MONTGOMERY STREET               ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366062,PASSENGER VEHICLE,UNKNOWN,,,
01/05/2016,21:15,QUEENS,11355,40.7557442,-73.8307482,"(40.7557442, -73.8307482)",SANFORD AVENUE                  ,FRAME PLACE                     ,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3366278,UNKNOWN,PASSENGER VEHICLE,,,
01/05/2016,21:15,MANHATTAN,10002,40.7204773,-73.9897185,"(40.7204773, -73.9897185)",ALLEN STREET                    ,RIVINGTON STREET                ,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3365090,PASSENGER VEHICLE,TAXI,,,
01/05/2016,21:15,BROOKLYN,11214,40.6054825,-73.9997191,"(40.6054825, -73.9997191)",86 STREET                       ,BAY 22 STREET                   ,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3366005,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,
01/05/2016,21:00,STATEN ISLAND,10306,40.5652551,-74.1300887,"(40.5652551, -74.1300887)",GUYON AVENUE                    ,AMBOY ROAD                      ,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3365759,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,21:00,BROOKLYN,11235,40.5825335,-73.9572199,"(40.5825335, -73.9572199)",NEPTUNE AVENUE                  ,EAST 12 STREET                  ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3365296,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,21:00,BROOKLYN,11219,40.6333475,-73.9938643,"(40.6333475, -73.9938643)",13 AVENUE                       ,52 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365337,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
01/05/2016,21:00,BROOKLYN,11213,40.6700416,-73.9365694,"(40.6700416, -73.9365694)",TROY AVENUE                     ,LINCOLN PLACE                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366112,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,21:00,BRONX,10472,40.8347693,-73.8699408,"(40.8347693, -73.8699408)",EAST 174 STREET                 ,ROSEDALE AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365910,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,20:59,MANHATTAN,10280,40.7081334,-74.0166242,"(40.7081334, -74.0166242)",BATTERY PLACE                   ,WEST THAMES STREET              ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3365767,PASSENGER VEHICLE,TAXI,,,
01/05/2016,20:59,MANHATTAN,10010,40.7434507,-73.988192,"(40.7434507, -73.988192)",5 AVENUE                        ,EAST 26 STREET                  ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3365799,BUS,LIVERY VEHICLE,,,
01/05/2016,20:56,BROOKLYN,11226,40.6554241,-73.950066,"(40.6554241, -73.950066)",CLARKSON AVENUE                 ,NOSTRAND AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366030,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,20:53,MANHATTAN,10031,40.8238869,-73.9523062,"(40.8238869, -73.9523062)",BROADWAY                        ,WEST 141 STREET                 ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3365162,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,
01/05/2016,20:50,BROOKLYN,11236,40.6336053,-73.9162226,"(40.6336053, -73.9162226)",FLATLANDS AVENUE                ,EAST 76 STREET                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366038,PASSENGER VEHICLE,UNKNOWN,,,
01/05/2016,20:46,QUEENS,11370,40.7576838,-73.8857533,"(40.7576838, -73.8857533)",32 AVENUE                       ,82 STREET                       ,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3366350,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
01/05/2016,20:45,QUEENS,11385,40.7097444,-73.9077407,"(40.7097444, -73.9077407)",GREENE AVENUE                   ,GRANDVIEW AVENUE                ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366190,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,20:45,QUEENS,11364,40.731779,-73.7701087,"(40.731779, -73.7701087)",FRANCIS LEWIS BOULEVARD         ,UNION TURNPIKE                  ,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3366234,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,20:45,BROOKLYN,11211,40.7140707,-73.9543399,"(40.7140707, -73.9543399)",METROPOLITAN AVENUE             ,MARCY AVENUE                    ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3366152,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,20:45,BRONX,10463,40.8826989,-73.9161004,"(40.8826989, -73.9161004)",,,3001 HUDSON PARKWAY                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366579,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,20:36,BROOKLYN,11210,40.6286468,-73.9520675,"(40.6286468, -73.9520675)",BEDFORD AVENUE                  ,AVENUE I                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366047,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,20:30,BROOKLYN,11228,40.6206941,-74.0034365,"(40.6206941, -74.0034365)",14 AVENUE                       ,72 STREET                       ,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3366002,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,20:30,BROOKLYN,11214,40.5827218,-73.9862655,"(40.5827218, -73.9862655)",,,2970 CROPSEY AVENUE                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365986,PASSENGER VEHICLE,UNKNOWN,,,
01/05/2016,20:30,BRONX,10466,40.8891934,-73.8312982,"(40.8891934, -73.8312982)",EAST 233 STREET                 ,DYRE AVENUE                     ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365936,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,20:25,BROOKLYN,11221,40.6896924,-73.9333919,"(40.6896924, -73.9333919)",LEXINGTON AVENUE                ,STUYVESANT AVENUE               ,,0,0,0,0,0,0,0,0,Unspecified,,,,,3365465,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
01/05/2016,20:20,MANHATTAN,10027,40.8114771,-73.9502162,"(40.8114771, -73.9502162)",8 AVENUE                        ,WEST 127 STREET                 ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3365874,PASSENGER VEHICLE,,,,
01/05/2016,20:20,QUEENS,11420,40.6687266,-73.8214416,"(40.6687266, -73.8214416)",LEFFERTS BOULEVARD              ,149 AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,3593000,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
01/05/2016,20:20,MANHATTAN,10011,40.7440332,-74.003118,"(40.7440332, -74.003118)",9 AVENUE                        ,WEST 19 STREET                  ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3365791,TAXI,PASSENGER VEHICLE,,,
01/05/2016,20:19,QUEENS,11436,40.6833421,-73.804323,"(40.6833421, -73.804323)",LINDEN BOULEVARD                ,139 STREET                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366319,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,20:16,STATEN ISLAND,10310,40.6271038,-74.1251333,"(40.6271038, -74.1251333)",FOREST AVENUE                   ,MANOR ROAD                      ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,Unspecified,,,3366356,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
01/05/2016,20:16,STATEN ISLAND,10301,40.6140763,-74.0975262,"(40.6140763, -74.0975262)",HOWARD AVENUE                   ,GRAND AVENUE                    ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366355,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,20:16,BROOKLYN,11219,40.6331359,-73.9904957,"(40.6331359, -73.9904957)",14 AVENUE                       ,50 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365335,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,20:15,BROOKLYN,11217,40.6818344,-73.9758325,"(40.6818344, -73.9758325)",DEAN STREET                     ,FLATBUSH AVENUE                 ,,1,0,0,0,1,0,0,0,Physical Disability,Unspecified,,,,3366117,BICYCLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,20:15,MANHATTAN,10024,40.7896149,-73.9736086,"(40.7896149, -73.9736086)",AMSTERDAM AVENUE                ,WEST 89 STREET                  ,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,3365146,TAXI,LIVERY VEHICLE,,,
01/05/2016,20:01,,,,,,ROCKAWAY BOULEVARD              ,SUTPHIN BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3535365,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,20:00,,,,,,,,,0,0,0,0,0,0,0,0,Pavement Slippery,Pavement Slippery,,,,3365877,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,20:00,,,,,,QUEENS PLAZA SOUTH              ,JACKSON AVENUE                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366246,VAN,VAN,,,
01/05/2016,20:00,,,40.8693477,-73.9074975,"(40.8693477, -73.9074975)",BAILEY AVENUE                   ,HEATH AVENUE                    ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3365983,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,20:00,QUEENS,11419,40.6913744,-73.8098815,"(40.6913744, -73.8098815)",142 STREET                      ,VANWYCK EXPRESSWAY              ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366180,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
01/05/2016,20:00,QUEENS,11370,40.7650136,-73.8870909,"(40.7650136, -73.8870909)",ASTORIA BOULEVARD               ,82 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368433,PASSENGER VEHICLE,UNKNOWN,,,
01/05/2016,20:00,QUEENS,11106,40.75658,-73.9297516,"(40.75658, -73.9297516)",31 STREET                       ,36 AVENUE                       ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3370981,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,1:25,BROOKLYN,11209,40.6234622,-74.0310592,"(40.6234622, -74.0310592)",86 STREET                       ,3 AVENUE                        ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Drugs (Illegal),Unspecified,Unspecified,,3365353,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
01/05/2016,1:20,STATEN ISLAND,10304,40.6152063,-74.0846476,"(40.6152063, -74.0846476)",VANDERBILT AVENUE               ,TARGEE STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,,,,,3365721,PASSENGER VEHICLE,,,,
01/05/2016,19:50,BROOKLYN,11231,40.6732976,-74.008342,"(40.6732976, -74.008342)",COLUMBIA STREET                 ,BAY STREET                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3367201,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,19:50,BROOKLYN,11231,40.6732976,-74.008342,"(40.6732976, -74.008342)",COLUMBIA STREET                 ,BAY STREET                      ,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3367202,SMALL COM VEH(4 TIRES) ,SPORT UTILITY / STATION WAGON,,,
01/05/2016,19:45,,,40.7014972,-74.0115545,"(40.7014972, -74.0115545)",,,,0,0,0,0,0,0,0,0,,,,,,3365765,SPORT UTILITY / STATION WAGON,TAXI,,,
01/05/2016,19:45,,,,,,ROCKAWAY BOULEVARD              ,LEFFERTS BOULEVARD              ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365583,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
01/05/2016,19:45,QUEENS,11434,40.6574827,-73.7697628,"(40.6574827, -73.7697628)",149 ROAD                        ,ROCKAWAY BOULEVARD              ,,0,0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,,,,3366210,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
